Dublin Heuston,20/03/2023,Ireland
Kildare,20/03/2023,Ireland
Athy,20/03/2023,Ireland
Carlow,20/03/2023,Ireland
Muine Bheag,20/03/2023,Ireland
Kilkenny MacDonagh,20/03/2023,Ireland
Thomastown,20/03/2023,Ireland
Waterford Plunkett,20/03/2023,Ireland
Carrick-on-Suir,20/03/2023,Ireland
Clonmel,20/03/2023,Ireland
Cahir,20/03/2023,Ireland
Tipperary,20/03/2023,Ireland
Limerick Junction,20/03/2023,Ireland
Limerick Colbert,20/03/2023,Ireland
Sixmilebridge,20/03/2023,Ireland
Ennis,20/03/2023,Ireland
Gort,20/03/2023,Ireland
Ardrahan,20/03/2023,Ireland
Craughwell,20/03/2023,Ireland
Athenry,20/03/2023,Ireland
Oranmore,20/03/2023,Ireland
Galway Ceannt,20/03/2023,Ireland