Station Name,Station No.,First Date,Line(s),Edition
Abbey Road,26,23/09/2020,DLR,ϙ3
All Saints,34,23/09/2020,DLR,ϙ3
Bank,1,13/12/2019,DLR,ϙ1
Beckton,18,23/09/2020,DLR,ϙ3
Beckton Park,15,23/09/2020,DLR,ϙ3
Blackwall,8,23/09/2020,DLR,ϙ3
Bow Church,31,23/09/2020,DLR,ϙ3
Canary Wharf,5,13/12/2019,DLR,ϙ1
Canning Town,10,23/09/2020,DLR,ϙ3
Crossharbour,38,23/09/2020,DLR,ϙ3
Custom House for ExCeL,12,23/09/2020,DLR,ϙ3
Cutty Sark for Maritime Greenwich,41,23/09/2020,DLR,ϙ3
Cyprus,16,23/09/2020,DLR,ϙ3
Deptford Bridge,43,23/09/2020,DLR,ϙ3
Devons Road,32,23/09/2020,DLR,ϙ3
East India,9,23/09/2020,DLR,ϙ3
Elverson Road,44,23/09/2020,DLR,ϙ3
Gallions Reach,17,23/09/2020,DLR,ϙ3
Greenwich,42,23/09/2020,DLR,ϙ3
Heron Quays,36,23/09/2020,DLR,ϙ3
Island Gardens,40,23/09/2020,DLR,ϙ3
King George V,22,23/09/2020,DLR,ϙ3
Langdon Park,33,23/09/2020,DLR,ϙ3
Lewisham,45,23/09/2020,DLR,ϙ3
Limehouse,3,13/12/2019,DLR,ϙ1
London City Airport,21,23/09/2020,DLR,ϙ3
Mudchute,39,23/09/2020,DLR,ϙ3
Pontoon Dock,20,23/09/2020,DLR,ϙ3
Poplar,7,23/09/2020,DLR,ϙ3
Prince Regent,13,23/09/2020,DLR,ϙ3
Pudding Mill Lane,30,23/09/2020,DLR,ϙ3
Royal Albert,14,23/09/2020,DLR,ϙ3
Royal Victoria,11,23/09/2020,DLR,ϙ3
Shadwell,2,13/12/2019,DLR,ϙ1
South Quay,37,23/09/2020,DLR,ϙ3
Star Lane,24,23/09/2020,DLR,ϙ3
Stratford ,28,23/09/2020,DLR,ϙ3
Stratford High Street ,27,23/09/2020,DLR,ϙ3
Stratford Int'l ,29,23/09/2020,DLR,ϙ3
Tower Gateway ,6,23/09/2020,DLR,ϙ3
West Ham ,25,23/09/2020,DLR,ϙ3
West India Quay ,35,23/09/2020,DLR,ϙ3
West Silvertown ,19,23/09/2020,DLR,ϙ3
Westferry ,4,13/12/2019,DLR,ϙ1
Woolwich Arsenal ,23,23/09/2020,DLR,ϙ3
Acton Central,5,01/02/2020,North London,ϙ2
Bruce Grove,10,01/02/2020,Lea Valley,ϙ2
Clapham Junction,13,02/02/2020,North London,ϙ2
Gunnersbury,7,01/02/2020,North London,ϙ2
Imperial Wharf,12,02/02/2020,North London,ϙ2
Kensington (Olympia),2,13/12/2019,North London,ϙ1
Kew Gardens,8,01/02/2020,North London,ϙ2
Richmond,9,01/02/2020,North London,ϙ2
Seven Sisters,11,01/02/2020,Lea Valley,ϙ2
Shepherd's Bush,3,13/12/2019,North London,ϙ1
South Acton,6,01/02/2020,North London,ϙ2
West Brompton,1,13/12/2019,North London,ϙ1
Willesden Junction,4,01/02/2020,North London,ϙ2
Acton Main Line,2,13/12/2019,,ϙ1
Ealing Broadway,3,13/12/2019,,ϙ1
Paddington,1,13/12/2019,,ϙ1
Aldgate,60,31/01/2020,Circle,ϙ2
Angel,101,23/09/2020,Northern,ϙ3
Arsenal,81,01/02/2020,Piccadilly,ϙ2
Baker Street,40,13/12/2019,"Circle 
 			Bakerloo 
 			Metropolitan 
 			Jubilee","ϙ1 
 			ϙ1 
 			ϙ1 
 			ϙ1"
Bank,54,31/01/2020,"Central 
 			W&C 
 			Northern","ϙ2 
 			ϙ2 
 			ϙ3"
Barbican,99,23/09/2020,"Circle 
 			Metropolitan","ϙ3 
 			ϙ3"
Bayswater,97,02/02/2020,Circle,ϙ2
Bermondsey,21,13/12/2019,Jubilee,ϙ1
Bethnal Green,62,31/01/2020,Central,ϙ2
Blackfriars,55,31/01/2020,District,ϙ2
Blackhorse Road,85,01/02/2020,Victoria,ϙ2
Bond Street,30,13/12/2019,"Central 
 			Jubilee","ϙ1 
 			ϙ1"
Borough,103,23/09/2020,Northern,ϙ3
Brixton,105,23/09/2020,Victoria,ϙ3
Caledonian Road,79,01/02/2020,Piccadilly,ϙ2
Canada Water,20,13/12/2019,Jubilee,ϙ1
Canary Wharf,19,13/12/2019,Jubilee,ϙ1
Cannon Street,57,31/01/2020,"District 
 			Circle","ϙ2 
 			ϙ3"
Chancery Lane,52,31/01/2020,Central,ϙ2
Charing Cross,33,13/12/2019,"Bakerloo 
 			Northern","ϙ1 
 			ϙ1"
Clapham North,93,01/02/2020,Northern,ϙ2
Covent Garden,96,01/02/2020,Piccadilly,ϙ2
Dollis Hill,45,14/12/2019,Jubilee,ϙ1
Ealing Broadway,4,13/12/2019,Central,ϙ1
Earl's Court,26,13/12/2019,District,ϙ1
East Acton,7,13/12/2019,Central,ϙ1
Edgware Road (Bakerloo),107,23/09/2020,Bakerloo,ϙ3
Elephant & Castle,104,23/09/2020,Northern,ϙ3
Embankment,17,13/12/2019,"District 
 			Bakerloo 
 			Northern","ϙ1 
 			ϙ1 
 			ϙ1"
Euston,88,01/02/2020,Victoria,ϙ2
Euston Square,38,13/12/2019,"Circle 
 			Metropolitan","ϙ1 
 			ϙ2"
Farringdon,100,23/09/2020,Metropolitan,ϙ3
Finchley Road,42,14/12/2019,"Metropolitan 
 			Jubilee","ϙ1 
 			ϙ1"
Finsbury Park,82,01/02/2020,"Piccadilly 
 			Victoria","ϙ2 
 			ϙ2"
Gloucester Road,25,13/12/2019,"Circle 
 			District","ϙ1 
 			ϙ1"
Great Portland Street,39,13/12/2019,"Circle 
 			Metropolitan","ϙ1 
 			ϙ1"
Green Park,51,31/01/2020,"Jubilee 
 			Victoria","ϙ2 
 			ϙ2"
Harlesden,69,01/02/2020,Bakerloo,ϙ2
Harrow & Wealdstone,75,01/02/2020,Bakerloo,ϙ2
Harrow-on-the-Hill,76,01/02/2020,Metropolitan,ϙ2
High Street Kensington,66,01/02/2020,District,ϙ2
Highbury & Islington,87,01/02/2020,Victoria,ϙ2
Holborn,35,13/12/2019,"Central 
 			Piccadilly","ϙ1 
 			ϙ1"
Holland Park,10,13/12/2019,Central,ϙ1
Holloway Road,80,01/02/2020,Piccadilly,ϙ2
Kennington,95,01/02/2020,Northern,ϙ2
Kensington (Olympia),67,01/02/2020,District,ϙ2
Kenton Sainsburys,74,01/02/2020,Bakerloo,ϙ2
Kilburn,47,14/12/2019,Jubilee,ϙ1
King's Cross St Pancras,37,13/12/2019,"Piccadilly 
 			Circle 
 			Metropolitan 
 			Victoria","ϙ1 
 			ϙ1 
 			ϙ2 
 			ϙ2"
Lancaster Gate,28,13/12/2019,Central,ϙ1
Leicester Square,34,13/12/2019,"Northern 
 			Piccadilly","ϙ1 
 			ϙ2"
Leyton,65,01/02/2020,Central,ϙ2
Liverpool Street,61,31/01/2020,"Circle 
 			Central","ϙ2 
 			ϙ2"
London Bridge,22,13/12/2019,"Jubilee 
 			Northern","ϙ1 
 			ϙ3"
Mansion House,56,31/01/2020,District,ϙ2
Marble Arch,29,13/12/2019,Central,ϙ1
Marylebone,106,23/09/2020,Bakerloo,ϙ3
Mile End,63,31/01/2020,Central,ϙ2
Monument,58,31/01/2020,"District 
 			Circle","ϙ2 
 			ϙ3"
Moorgate,98,23/09/2020,"Circle 
 			Metropolitan 
 			Northern","ϙ3 
 			ϙ3 
 			ϙ3"
Neasden,44,14/12/2019,Jubilee,ϙ1
North Acton,6,13/12/2019,Central,ϙ1
North Wembley,72,01/02/2020,Bakerloo,ϙ2
Northwick Park,77,01/02/2020,Metropolitan,ϙ2
Notting Hill Gate,2,05/12/2016,"Circle 
 			Central 
 			District","α2
 			α2 
 			ϙ2"
Old Street,102,23/09/2020,Northern,ϙ3
Oval,94,01/02/2020,Northern,ϙ2
Oxford Circus,31,13/12/2019,"Central 
 			Bakerloo 
 			Victoria","ϙ1 
 			ϙ1 
 			ϙ2"
Paddington (Praed St),1,05/12/2016,"Circle 
 			Bakerloo","α2 
 			ϙ3"
Piccadilly Circus,32,13/12/2019,Bakerloo,ϙ1
Pimlico,90,01/02/2020,Victoria,ϙ2
Preston Road,78,01/02/2020,Metropolitan,ϙ2
Queensway,11,13/12/2019,Central,ϙ1
Regent's Park,41,13/12/2019,Bakerloo,ϙ1
Russell Square,36,13/12/2019,Piccadilly,ϙ1
Seven Sisters,83,01/02/2020,Victoria,ϙ2
Shepherd's Bush,9,13/12/2019,Central,ϙ1
Sloane Square,13,13/12/2019,"District 
 			Circle","ϙ1 
 			ϙ1"
South Kensington,12,13/12/2019,"District 
 			Circle","ϙ1 
 			ϙ1"
South Kenton,73,01/02/2020,Bakerloo,ϙ2
Southwark,23,13/12/2019,Jubilee,ϙ1
St James's Park,15,13/12/2019,"District 
 			Circle","ϙ1 
 			ϙ1"
St John's Wood,50,14/12/2019,Jubilee,ϙ1
St Pauls,53,31/01/2020,Central,ϙ2
Stockwell,92,01/02/2020,"Victoria 
 			Northern","ϙ2 
 			ϙ2"
Stonebridge Park,70,01/02/2020,Bakerloo,ϙ2
Stratford,64,31/01/2020,Central,ϙ2
Swiss Cottage,49,14/12/2019,Jubilee,ϙ1
Temple,18,13/12/2019,District,ϙ1
Tottenham Court Road,3,05/12/2016,"Central 
 			Northern","α2 
 			ϙ1"
Tottenham Hale,84,01/02/2020,Victoria,ϙ2
Tower Hill,59,31/01/2020,"District 
 			Circle","ϙ2 
 			ϙ2"
Vauxhall,91,01/02/2020,Victoria,ϙ2
Victoria,14,13/12/2019,"District 
 			Circle 
 			Victoria","ϙ1 
 			ϙ1 
 			ϙ2"
Walthamstow Central,86,01/02/2020,Victoria,ϙ2
Warren Street,89,01/02/2020,Victoria,ϙ2
Waterloo,24,13/12/2019,"Jubilee 
 			W&C 
 			Bakerloo","ϙ1 
 			ϙ2 
 			ϙ2"
Wembley Central,71,01/02/2020,Bakerloo,ϙ2
Wembley Park,43,14/12/2019,"Metropolitan 
 			Jubilee","ϙ1 
 			ϙ1"
West Acton,5,13/12/2019,Central,ϙ1
West Brompton,27,13/12/2019,District,ϙ1
West Hampstead,48,14/12/2019,Jubilee,ϙ1
Westminster,16,13/12/2019,"District 
 			Jubilee 
 			Circle","ϙ1 
 			ϙ1 
 			ϙ1"
White City,8,13/12/2019,Central,ϙ1
Willesden Green,46,14/12/2019,Jubilee,ϙ1
Willesden Junction,68,01/02/2020,Bakerloo,ϙ2
